group,n_posts,mean_n_tokens,mean_pred_valence_1_9,median_pred_valence_1_9,sd_pred_valence_1_9,mean_pred_arousal_1_9,median_pred_arousal_1_9,sd_pred_arousal_1_9
without_selected_high_gap_word,2686,178.02717795979152,5.071026295258966,5.015258498690195,1.4699577980173013,5.018995245648191,5.082723738233772,1.372288277039277
with_selected_high_gap_word,6482,196.4012650416538,5.046582114971108,4.989042041777518,1.5398212611875404,4.909903098502687,4.967785700600267,1.4265988819153945
