density_q,n_posts,mh_rate,mean_mh_sim
Q1,2311,0.10514928602336651,0.2011850055435439
Q2,2298,0.11096605744125326,0.20372506470343776
Q3,2288,0.10751748251748251,0.2036115127701923
Q4,2271,0.07617789520035227,0.1982430111264641
