prop_group,n_posts,mean_selected_high_gap_prop,mean_pred_valence_1_9,median_pred_valence_1_9,mean_pred_arousal_1_9,median_pred_arousal_1_9
0: none,2686,0.0,5.071026295258966,5.015258498690195,5.018995245648191,5.082723738233772
positive_q1,1622,0.0038843888843629465,5.275388313464096,5.378357424912453,4.449122423441035,4.207677733959572
positive_q2,1626,0.006842301175518756,5.089736996242398,5.124128921758743,4.880389688480597,4.846005996368897
positive_q3,1639,0.010669389738673818,5.0093455727247855,4.984219528746807,5.019945190737752,5.069766756048215
positive_q4,1595,0.025227211569765977,4.808172837127208,4.7497979742312415,5.2954931113381996,5.375616640653471
