perturbation,n_posts,mean_abs_delta_valence,median_abs_delta_valence,mean_abs_delta_arousal,median_abs_delta_arousal,mean_delta_affect_shift_mag,median_delta_affect_shift_mag,mean_signed_delta_valence,mean_signed_delta_arousal
replacement_lowgap,6482,0.10861880158553855,0.07021631032977016,0.08235306948165298,0.05427746814982015,0.15079645819234047,0.11370084377528707,-0.010884638135896827,-0.027775357700555642
mask,6482,0.08985420202860266,0.06362232314620542,0.08233724557639246,0.05940997351327537,0.1351921034321503,0.10689883055718016,-0.024938483341224504,-0.029613151886481844
deletion,6482,0.07846332860078371,0.05385821347177311,0.07715878348900378,0.05532082702383123,0.12251934517925378,0.09422228990529807,-0.020796642402797712,-0.026556491409791754
