,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
100zk9u,0.09550440735613819,0.0715765235860788,0.0016842169731683398,0.05797356674866894,0.021311600971295697,0.04136169148935043,0.11172298897724477,0.07468187909143842,0.041395967311719045,0.09550440735613819,0.0715765235860788,-0.0016842169731683398,0.05797356674866894,0.021311600971295697,0.04136169148935043
101046a,0.0007724066602596835,0.03833068730812794,0.17375634251001593,0.2798423144446409,0.25047400360821914,0.14823751380235484,0.27984338042158885,0.2533899525889763,0.2283979576545318,0.0007724066602596835,-0.03833068730812794,-0.17375634251001593,0.2798423144446409,0.25047400360821914,0.14823751380235484
1010zmp,0.09009922686595129,0.16945816399201696,0.04279468634425232,0.0702668190409308,0.03259279764545253,0.04094543642395232,0.11425977656189021,0.17256407448221292,0.059227645092902834,0.09009922686595129,0.16945816399201696,0.04279468634425232,-0.0702668190409308,-0.03259279764545253,-0.04094543642395232
1011ccg,0.07671749637286851,0.06160809363614117,0.08574103812672718,0.10301772208054327,0.03262998947872919,0.12657256918634285,0.12844541763871978,0.06971566118786736,0.15287949793703676,0.07671749637286851,0.06160809363614117,0.08574103812672718,-0.10301772208054327,-0.03262998947872919,-0.12657256918634285
1012lho,0.08049041678672264,0.02230351610854786,0.005246094080659347,0.046765889937807614,0.0027307987013722723,0.04359625267603562,0.09309004058531427,0.022470071035750428,0.04391075893782607,0.08049041678672264,0.02230351610854786,-0.005246094080659347,0.046765889937807614,0.0027307987013722723,0.04359625267603562
101dju5,0.07186763874027147,0.01013122372402453,0.023303881163574403,0.00942644141241189,0.006261398661465023,0.015077803379295318,0.072483206991715,0.011909945732203546,0.027756279146000228,0.07186763874027147,0.01013122372402453,0.023303881163574403,0.00942644141241189,0.006261398661465023,0.015077803379295318
101f53n,0.04979913400449476,0.0069361053139607165,0.01678771169827087,0.014740600433867712,0.05881688109589511,0.0052887490770601175,0.051934950166035276,0.05922444646237749,0.017601083229857328,0.04979913400449476,0.0069361053139607165,0.01678771169827087,-0.014740600433867712,-0.05881688109589511,0.0052887490770601175
101lcoi,0.004262153079091391,0.17213641586345485,0.026877648708487634,0.016679931664505432,0.2781611019585357,0.028585768420430036,0.017215866786257937,0.32711549078131896,0.03923715275454275,0.004262153079091391,0.17213641586345485,-0.026877648708487634,0.016679931664505432,0.2781611019585357,0.028585768420430036
101rcbl,0.04662364693317489,0.08800975450059312,0.008792852806954521,0.05916960541294447,0.06319069538700539,0.025086527097423428,0.07533131260022552,0.10834565460020985,0.02658285353934991,-0.04662364693317489,-0.08800975450059312,-0.008792852806954521,0.05916960541294447,0.06319069538700539,0.025086527097423428
101tvob,0.026342408020846086,0.03606316454232328,0.199667999187084,0.09314100183848684,0.07567782922395239,0.11416561296313699,0.09679446618383587,0.08383129292129751,0.23000238494985692,-0.026342408020846086,-0.03606316454232328,-0.199667999187084,-0.09314100183848684,-0.07567782922395239,0.11416561296313699
