strata_col,strata_level,metric,comparison,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value
selected_hit_count,1,abs_delta_valence,mask vs replacement_lowgap,4057,0.06901087232943441,0.08179945792077731,-0.012788585591342902,3477338.0,1.1516404012476486e-17
selected_hit_count,1,abs_delta_valence,mask vs deletion,4057,0.06901087232943441,0.05700308416515265,0.012007788164281752,2988235.0,1.3266987208073946e-51
selected_hit_count,1,abs_delta_valence,replacement_lowgap vs deletion,4057,0.08179945792077731,0.05700308416515265,0.024796373755624653,2596717.0,3.734963614092949e-92
selected_hit_count,1,abs_delta_arousal,mask vs replacement_lowgap,4057,0.06423223048150334,0.06429239760620165,-6.0167124698301776e-05,3905149.0,0.004747045136098112
selected_hit_count,1,abs_delta_arousal,mask vs deletion,4057,0.06423223048150334,0.057524614925213796,0.00670761555628955,3388512.0,1.8774100817298966e-22
selected_hit_count,1,abs_delta_arousal,replacement_lowgap vs deletion,4057,0.06429239760620165,0.057524614925213796,0.006767782680987853,3826274.0,0.00010407942375485319
selected_hit_count,1,delta_affect_shift_mag,mask vs replacement_lowgap,4057,0.10411282294037637,0.11480626124728716,-0.010693438306910785,3708313.0,4.710290554984513e-08
selected_hit_count,1,delta_affect_shift_mag,mask vs deletion,4057,0.10411282294037637,0.08965313467589248,0.014459688264483897,2850687.0,1.71731869053234e-64
selected_hit_count,1,delta_affect_shift_mag,replacement_lowgap vs deletion,4057,0.11480626124728716,0.08965313467589248,0.02515312657139468,2781225.0,1.4706061359617057e-71
selected_hit_count,2,abs_delta_valence,mask vs replacement_lowgap,1487,0.10426733318452701,0.12573842688789894,-0.02147109370337195,437873.0,3.3675421381760655e-12
selected_hit_count,2,abs_delta_valence,mask vs deletion,1487,0.10426733318452701,0.09134213598788148,0.012925197196645524,412459.0,1.96228962244009e-17
selected_hit_count,2,abs_delta_valence,replacement_lowgap vs deletion,1487,0.12573842688789894,0.09134213598788148,0.03439629090001747,332954.0,2.4207494405962676e-40
